timestamp,washing_machine_count,washing_machine_voltage,washing_machine_current,washing_machine_energy_wh,refrigerator_count,refrigerator_voltage,refrigerator_current,refrigerator_energy_wh,water_heater_count,water_heater_voltage,water_heater_current,water_heater_energy_wh,ac_count,ac_voltage,ac_current,ac_energy_wh,tubelight_count,tubelight_voltage,tubelight_current,tubelight_energy_wh,fan_count,fan_voltage,fan_current,fan_energy_wh,led_light_count,led_light_voltage,led_light_current,led_light_energy_wh,tv_count,tv_voltage,tv_current,tv_energy_wh,laptop_count,laptop_voltage,laptop_current,laptop_energy_wh,aggregate_energy_wh
1752172067.6229844,1,213.33,2.34,0.1389,1,229.14,0.65,0.0417,1,221.61,9.02,0.5556,2,225.74,6.64,0.8333,4,212.96,0.09,0.0222,3,225.16,0.22,0.0417,5,211.44,0.05,0.0139,1,222.15,0.45,0.0278,2,218.52,0.27,0.0333,2.7806
1752172068.6348004,1,216.48,2.31,0.1389,1,214.53,0.7,0.0417,1,215.25,9.29,0.5556,2,212.27,7.07,0.8333,4,213.45,0.09,0.0222,3,226.42,0.22,0.0417,5,213.54,0.05,0.0139,1,212.35,0.47,0.0278,2,219.18,0.27,0.0333,5.5612
1752172069.6393797,1,226.61,2.21,0.1389,1,227.58,0.66,0.0417,1,227.11,8.81,0.5556,2,220.38,6.81,0.8333,4,224.75,0.09,0.0222,3,225.12,0.22,0.0417,5,221.09,0.05,0.0139,1,225.82,0.44,0.0278,2,211.44,0.28,0.0333,8.3418
1752172070.6482847,1,227.08,2.2,0.1389,1,216.69,0.69,0.0417,1,216.98,9.22,0.5556,2,229.26,6.54,0.8333,4,215.19,0.09,0.0222,3,224.5,0.22,0.0417,5,226.03,0.04,0.0139,1,225.01,0.44,0.0278,2,216.55,0.28,0.0333,11.1224
1752172071.6598334,1,215.29,2.32,0.1389,1,216.55,0.69,0.0417,1,222.64,8.98,0.5556,2,224.09,6.69,0.8333,4,219.97,0.09,0.0222,3,218.23,0.23,0.0417,5,215.24,0.05,0.0139,1,224.82,0.44,0.0278,2,215.59,0.28,0.0333,13.903
1752172072.6706278,1,226.55,2.21,0.1389,1,214.23,0.7,0.0417,1,224.82,8.9,0.5556,2,222.34,6.75,0.8333,4,215.67,0.09,0.0222,3,216.43,0.23,0.0417,5,227.08,0.04,0.0139,1,224.36,0.45,0.0278,2,220.51,0.27,0.0333,16.6836
1752172073.6807675,1,223.18,2.24,0.1389,1,218.23,0.69,0.0417,1,219.19,9.12,0.5556,2,221.26,6.78,0.8333,4,226.31,0.09,0.0222,3,228.36,0.22,0.0417,5,217.41,0.05,0.0139,1,224.74,0.44,0.0278,2,226.56,0.26,0.0333,19.4642
1752172074.6921098,1,210.58,2.37,0.1389,1,219.07,0.68,0.0417,1,218.86,9.14,0.5556,2,220.85,6.79,0.8333,4,226.46,0.09,0.0222,3,215.14,0.23,0.0417,5,222.33,0.04,0.0139,1,214.77,0.47,0.0278,2,212.05,0.28,0.0333,22.2448
1752172075.7001956,1,217.55,2.3,0.1389,1,211.98,0.71,0.0417,1,223.26,8.96,0.5556,2,213.91,7.01,0.8333,4,216.1,0.09,0.0222,3,228.72,0.22,0.0417,5,226.5,0.04,0.0139,1,215.81,0.46,0.0278,2,227.66,0.26,0.0333,25.0254
1752172076.7102382,1,227.27,2.2,0.1389,1,214.77,0.7,0.0417,1,228.97,8.73,0.5556,2,210.25,7.13,0.8333,4,214.81,0.09,0.0222,3,219.25,0.23,0.0417,5,210.23,0.05,0.0139,1,225.58,0.44,0.0278,2,218.03,0.28,0.0333,27.806
1752172077.724206,1,222.94,2.24,0.1389,1,217.21,0.69,0.0417,1,221.01,9.05,0.5556,2,215.04,6.98,0.8333,4,215.14,0.09,0.0222,3,222.92,0.22,0.0417,5,226.39,0.04,0.0139,1,211.37,0.47,0.0278,2,213.73,0.28,0.0333,30.5866
1752172078.7391546,1,225.99,2.21,0.1389,1,223.23,0.67,0.0417,1,228.73,8.74,0.5556,2,222.37,6.75,0.8333,4,216.1,0.09,0.0222,3,228.85,0.22,0.0417,5,227.41,0.04,0.0139,1,216.37,0.46,0.0278,2,219.89,0.27,0.0333,33.3672
1752172079.7429414,1,216.31,2.31,0.1389,1,215.55,0.7,0.0417,1,215.43,9.28,0.5556,2,224.37,6.69,0.8333,4,219.22,0.09,0.0222,3,224.64,0.22,0.0417,5,214.64,0.05,0.0139,1,220.54,0.45,0.0278,2,216.84,0.28,0.0333,36.1478
1752172080.7547169,1,219.35,2.28,0.1389,1,215.53,0.7,0.0417,1,218.64,9.15,0.5556,2,227.63,6.59,0.8333,4,220.23,0.09,0.0222,3,229.65,0.22,0.0417,5,218.23,0.05,0.0139,1,224.41,0.45,0.0278,2,228.8,0.26,0.0333,38.9284
1752172081.760651,1,223.47,2.24,0.1389,1,211.42,0.71,0.0417,1,226.59,8.83,0.5556,2,213.49,7.03,0.8333,4,227.11,0.09,0.0222,3,225.61,0.22,0.0417,5,221.45,0.05,0.0139,1,228.72,0.44,0.0278,2,227.44,0.26,0.0333,41.709
1752172082.765391,1,221.34,2.26,0.1389,1,215.65,0.7,0.0417,1,214.02,9.34,0.5556,2,225.92,6.64,0.8333,4,224.08,0.09,0.0222,3,224.86,0.22,0.0417,5,211.24,0.05,0.0139,1,216.25,0.46,0.0278,2,227.38,0.26,0.0333,44.4896
1752172083.772725,1,222.86,2.24,0.1389,1,226.75,0.66,0.0417,1,226.33,8.84,0.5556,2,212.8,7.05,0.8333,4,228.49,0.09,0.0222,3,215.11,0.23,0.0417,5,223.93,0.04,0.0139,1,224.64,0.45,0.0278,2,215.15,0.28,0.0333,47.2702
1752172084.7827017,1,218.82,2.28,0.1389,1,229.55,0.65,0.0417,1,226.25,8.84,0.5556,2,212.84,7.05,0.8333,4,223.28,0.09,0.0222,3,228.87,0.22,0.0417,5,229.84,0.04,0.0139,1,210.02,0.48,0.0278,2,225.71,0.27,0.0333,50.0508
1752172085.790759,1,212.31,2.36,0.1389,1,227.09,0.66,0.0417,1,212.81,9.4,0.5556,2,222.99,6.73,0.8333,4,213.17,0.09,0.0222,3,210.84,0.24,0.0417,5,216.18,0.05,0.0139,1,229.44,0.44,0.0278,2,219.45,0.27,0.0333,52.8314
1752172086.7973316,1,214.3,2.33,0.1389,1,228.93,0.66,0.0417,1,214.96,9.3,0.5556,2,211.18,7.1,0.8333,4,213.34,0.09,0.0222,3,215.65,0.23,0.0417,5,211.11,0.05,0.0139,1,216.98,0.46,0.0278,2,214.12,0.28,0.0333,55.612
1752172087.8061285,1,224.6,2.23,0.1389,1,220.22,0.68,0.0417,1,214.62,9.32,0.5556,2,218.28,6.87,0.8333,4,227.75,0.09,0.0222,3,215.42,0.23,0.0417,5,227.56,0.04,0.0139,1,227.61,0.44,0.0278,2,214.51,0.28,0.0333,58.3926
1752172088.808966,1,225.4,2.22,0.1389,1,221.58,0.68,0.0417,1,213.21,9.38,0.5556,2,226.42,6.62,0.8333,4,228.99,0.09,0.0222,3,211.67,0.24,0.0417,5,218.77,0.05,0.0139,1,214.72,0.47,0.0278,2,212.37,0.28,0.0333,61.1732
1752172089.8148491,1,221.65,2.26,0.1389,1,217.68,0.69,0.0417,1,222.72,8.98,0.5556,2,213.17,7.04,0.8333,4,214.54,0.09,0.0222,3,211.0,0.24,0.0417,5,219.9,0.05,0.0139,1,210.15,0.48,0.0278,2,213.47,0.28,0.0333,63.9538
1752172090.8258815,1,229.1,2.18,0.1389,1,222.5,0.67,0.0417,1,222.21,9.0,0.5556,2,210.97,7.11,0.8333,4,228.12,0.09,0.0222,3,216.22,0.23,0.0417,5,225.48,0.04,0.0139,1,213.33,0.47,0.0278,2,219.85,0.27,0.0333,66.7344
